"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semipos_def"
5.95045586739745,0.411576225695667,0.0188792316319207,100,5,5,0,0,1,0
12.7589192473558,0.572774396352637,0.0531040684293815,100,5,5,0,0,1,0
14.6042217630764,0.605107512116446,0.0655440757652979,100,5,5,0,0,1,0
4.54412669832127,0.37467478665555,0.0136932229904806,100,5,5,0,0,1,0
10.2259708592665,0.550675317816933,0.0422045534109977,100,5,5,0,0,1,0
9.01845281833102,0.456533300436147,0.0307941970301408,100,5,5,0,0,1,0
9.63062530412217,0.515919611273225,0.0360940752414921,100,5,5,0,0,1,0
9.98892439766261,0.504229513775984,0.0372036374430136,100,5,5,0,0,1,0
8.79498352296502,0.490875048326734,0.0312226129538313,100,5,5,0,0,1,0
9.40912556848388,0.463158473003964,0.031578823056205,100,5,5,0,0,1,0
12.44443775031,0.58618608386884,0.0550519986378514,100,5,5,0,0,1,0
9.74174489041748,0.495362803720407,0.0347098561552827,100,5,5,0,0,1,0
4.39445665742322,0.3059140731078,0.0102184389513868,100,5,5,0,0,1,0
14.1399094864709,0.619640094788625,0.0667885873831281,100,5,5,0,0,1,0
6.29246526683671,0.486717344737762,0.024887965361996,100,5,5,0,0,1,0
6.95912909643888,0.450875052755665,0.0234885401438159,100,5,5,0,0,1,0
13.5363661334475,0.589782497342639,0.0590085573554541,100,5,5,0,0,1,0
11.8442906980589,0.502575012918924,0.0445052674881917,100,5,5,0,0,1,0
5.28575223077678,0.414287307669703,0.0176535944884548,100,5,5,0,0,1,0
8.36374920994385,0.460920509182019,0.0285304719563976,100,5,5,0,0,1,0
12.426154686177,0.532576661365124,0.0487900941803268,100,5,5,0,0,1,0
5.83437374152838,0.412443108114838,0.018084557632442,100,5,5,0,0,1,0
10.4770549912356,0.478786063634781,0.0370485529209871,100,5,5,0,0,1,0
9.5805854045077,0.524398099819497,0.0358810549976114,100,5,5,0,0,1,0
11.2471350107266,0.532814080912292,0.0438533623224269,100,5,5,0,0,1,0
9.09470090034644,0.464682234801457,0.0309637563105597,100,5,5,0,0,1,0
5.71873483166653,0.360412642721892,0.0151281335608577,100,5,5,0,0,1,0
4.75083319547544,0.343429766952919,0.0124338150416116,100,5,5,0,0,1,0
12.5172672371933,0.570536785290884,0.0520831234230255,100,5,5,0,0,1,0
12.0484852631416,0.495991310096575,0.0451771329782959,100,5,5,0,0,1,0
11.3064395776388,0.495540940350855,0.0409798902543784,100,5,5,0,0,1,0
9.48555602940867,0.458461785557142,0.0326655905915978,100,5,5,0,0,1,0
10.7848598176059,0.532949221594819,0.0423169635296216,100,5,5,0,0,1,0
16.5997271166464,0.640183844443846,0.0811432453252841,100,5,5,0,0,1,0
6.33092215732219,0.392402833684845,0.0188400273904546,100,5,5,0,0,1,0
6.07772466628423,0.45216180618965,0.0217576877667194,100,5,5,0,0,1,0
7.41476249716768,0.400750583426257,0.0214286916084912,100,5,5,0,0,1,0
12.9493261161276,0.494428918823748,0.0483243698125289,100,5,5,0,0,1,0
8.2720039948187,0.465953042961797,0.0289624564784118,100,5,5,0,0,1,0
6.58808084399461,0.427262487457735,0.0217642119808878,100,5,5,0,0,1,0
9.5081871905454,0.484502831175371,0.0349057465162674,100,5,5,0,0,1,0
11.8003290411682,0.512091375800417,0.0447693194500417,100,5,5,0,0,1,0
13.0980431496087,0.602560233545276,0.0587061506792565,100,5,5,0,0,1,0
10.5453041928856,0.498333289775184,0.0372191361726556,100,5,5,0,0,1,0
7.03268936793266,0.388144177718874,0.0199412088214405,100,5,5,0,0,1,0
7.16781297179189,0.402616686932426,0.0208335481484373,100,5,5,0,0,1,0
8.37060607942147,0.451349860525113,0.0280909490650823,100,5,5,0,0,1,0
7.47829679714476,0.434905482958191,0.0237064164304826,100,5,5,0,0,1,0
7.43995833991777,0.439438110384574,0.0233800522687242,100,5,5,0,0,1,0
7.90673729348787,0.474909262010128,0.0274497501945451,100,5,5,0,0,1,0
6.85560632391584,0.416011768896211,0.021654121125095,100,5,5,0,0,1,0
10.4668604035673,0.513379269836102,0.0394165734427323,100,5,5,0,0,1,0
7.21355222976214,0.381977817274781,0.0202566624366177,100,5,5,0,0,1,0
11.2901603055826,0.518494553097493,0.0428430125070312,100,5,5,0,0,1,0
9.22403209155441,0.432276818682328,0.0288610852755912,100,5,5,0,0,1,0
8.62077039867365,0.520977250639924,0.0332959596506596,100,5,5,0,0,1,0
12.3055504693347,0.601327109560004,0.0542768663399941,100,5,5,0,0,1,0
14.6602967780448,0.551941242370335,0.061542798852911,100,5,5,0,0,1,0
7.46406087193397,0.488619939228971,0.0280162054169694,100,5,5,0,0,1,0
17.4961035330292,0.610726659483417,0.0825357097812111,100,5,5,0,0,1,0
11.2822702173763,0.521850773917777,0.0423786660844227,100,5,5,0,0,1,0
7.65825077716238,0.447738601723609,0.0255482952960219,100,5,5,0,0,1,0
5.26974536752692,0.334950901276486,0.0130847149541706,100,5,5,0,0,1,0
10.7140393704026,0.532758496928665,0.0417176427210171,100,5,5,0,0,1,0
9.6997448763757,0.524808999396876,0.0371535641521703,100,5,5,0,0,1,0
7.85456570573178,0.421557695131848,0.0242871204690166,100,5,5,0,0,1,0
8.2134026156034,0.513293783823765,0.0306770241340467,100,5,5,0,0,1,0
11.9296003063228,0.558495068265884,0.047950749760135,100,5,5,0,0,1,0
11.4237395797871,0.556380728982035,0.0456757766152193,100,5,5,0,0,1,0
11.5386397509849,0.538416393322657,0.0457944081085121,100,5,5,0,0,1,0
8.18023896550285,0.426339011990524,0.025584673346067,100,5,5,0,0,1,0
10.0450537917897,0.52587188063353,0.0390947777214838,100,5,5,0,0,1,0
10.6526560049579,0.548584704242539,0.0434998598611816,100,5,5,0,0,1,0
9.97497504383642,0.448342664685116,0.0329255561858506,100,5,5,0,0,1,0
14.7285601332451,0.543882529645503,0.0604686175958692,100,5,5,0,0,1,0
8.42192080843158,0.444356467821638,0.0274546805432496,100,5,5,0,0,1,0
9.79856386290204,0.490901099852319,0.0357033144314967,100,5,5,0,0,1,0
9.81517958923393,0.494318401082633,0.0352821958410957,100,5,5,0,0,1,0
12.1752181672846,0.576305918906538,0.0513071546707385,100,5,5,0,0,1,0
5.72853819776737,0.351108390764805,0.0147354448726261,100,5,5,0,0,1,0
13.4034960177167,0.53734683449033,0.0527325168077552,100,5,5,0,0,1,0
4.44877404880944,0.354075637380327,0.0132129586589823,100,5,5,0,0,1,0
22.2461775833574,0.740432933469255,0.130209160023899,100,5,5,0,0,1,0
10.9311141796241,0.589468783824403,0.0485026474183861,100,5,5,0,0,1,0
5.28200103975224,0.422774655778479,0.0183550384739479,100,5,5,0,0,1,0
5.87624571330525,0.392760795177816,0.0178687919320783,100,5,5,0,0,1,0
9.82581527682368,0.491036549700269,0.0359462176810245,100,5,5,0,0,1,0
8.12574947491709,0.432016256285675,0.0261146151114605,100,5,5,0,0,1,0
10.5006058431434,0.515617539697714,0.0384844531963622,100,5,5,0,0,1,0
13.2993655012457,0.584666187904969,0.0575065956481784,100,5,5,0,0,1,0
10.0721796607364,0.495932917178763,0.0355245576628208,100,5,5,0,0,1,0
10.6936186084778,0.516009080754601,0.0405966770304187,100,5,5,0,0,1,0
9.82213627914289,0.468188296480136,0.0329435969158144,100,5,5,0,0,1,0
7.10322896366525,0.465852708162265,0.0246215258242548,100,5,5,0,0,1,0
8.89909487840722,0.459736301077388,0.030014577948859,100,5,5,0,0,1,0
8.41343061271868,0.435296824372844,0.0262452268907841,100,5,5,0,0,1,0
12.2743546744349,0.525834811213118,0.0470594818069739,100,5,5,0,0,1,0
12.9426375479834,0.614235271773191,0.0591683300843364,100,5,5,0,0,1,0
10.3581644507418,0.521332313896977,0.0389687855973155,100,5,5,0,0,1,0
8.61858445543931,0.450052834550326,0.02795657946068,100,5,5,0,0,1,0
13.9273895233166,0.626335046595669,0.0649018869424862,100,5,5,0,0,1,0
9.40134340201287,0.451774211534255,0.0321277361077806,100,5,5,0,0,1,0
15.1638913705201,0.63768293741649,0.0716204351588861,100,5,5,0,0,1,0
7.21147843826157,0.464409103593476,0.0252525337589802,100,5,5,0,0,1,0
7.18969552813349,0.435214985213556,0.0233673777299418,100,5,5,0,0,1,0
11.5315386685145,0.529439895320882,0.0453340628291456,100,5,5,0,0,1,0
6.95830031468418,0.381541875243482,0.0192830533081882,100,5,5,0,0,1,0
4.90870982117061,0.396559643457636,0.0157572584134176,100,5,5,0,0,1,0
11.4561640928648,0.528459729093622,0.0442543492534337,100,5,5,0,0,1,0
8.6123637079749,0.463650227551322,0.0295852983566877,100,5,5,0,0,1,0
8.65836332274591,0.482681594635596,0.0318985647643504,100,5,5,0,0,1,0
