"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12"
0.144423278944854,0.0509879262310656,0.00516840228914013,500,5,5,1,1,0
0.103576897303132,0.0467345214285071,0.00434207391452889,500,5,5,1,1,0
0.0184829950135644,0.0471366655956436,0.00441712132235853,500,5,5,1,1,0
0.107974418568334,0.0535110534733223,0.00569257307874142,500,5,5,1,1,0
0.0238069151211947,0.0558956452310283,0.006211229267804,500,5,5,1,1,0
0.0155286151671408,0.0492638987918452,0.00482479839775742,500,5,5,1,1,0
4.36802970860666e-05,0.0571585626358924,0.00649507560373418,500,5,5,1,1,0
0.288169608850242,0.0490434623646319,0.0047817168780603,500,5,5,1,1,0
0.0145164653380672,0.0476665410432505,0.00451698750197159,500,5,5,1,1,0
0.0474132109525621,0.0538095430031093,0.00575625758588951,500,5,5,1,1,0
0.00768394641086753,0.0430292630552721,0.00368086109613469,500,5,5,1,1,0
0.0793643912118478,0.0510507188882435,0.00518114011059965,500,5,5,1,1,0
0.196779035558069,0.0522406077227769,0.00542547858455902,500,5,5,1,1,0
0.193751505654516,0.0498847375100641,0.00494717183293851,500,5,5,1,1,0
0.000194273062085633,0.0469964446758065,0.00439088053676142,500,5,5,1,1,0
0.0964252226017283,0.0479179415039475,0.00456475968364037,500,5,5,1,1,0
0.0918341389287225,0.0528086079657175,0.00554409995803538,500,5,5,1,1,0
0.0232196818287323,0.0487256966659568,0.00471995357588921,500,5,5,1,1,0
0.0381244132947975,0.0517903519327915,0.00533235846528764,500,5,5,1,1,0
0.246483710590563,0.0484153375616802,0.00466001742827662,500,5,5,1,1,0
0.0859005273074314,0.0509669411810252,0.00516414885624086,500,5,5,1,1,0
0.0611887721848792,0.0577947606529764,0.0066404659111758,500,5,5,1,1,0
0.0394342471209347,0.0490451090667725,0.00478203798897827,500,5,5,1,1,0
0.135306942987637,0.0509734772724305,0.00516547346048305,500,5,5,1,1,0
0.0335204873743284,0.0427850465618623,0.00363919754184335,500,5,5,1,1,0
0.133286933473926,0.056357827973402,0.00631437116723362,500,5,5,1,1,0
0.00405907379347646,0.0542917866954389,0.00585989562908723,500,5,5,1,1,0
0.241434008555378,0.0482809518792526,0.00463418385850145,500,5,5,1,1,0
0.00874328712460296,0.0546065883989204,0.00592804786144275,500,5,5,1,1,0
0.19348279720639,0.0477515300505751,0.00453310935665127,500,5,5,1,1,0
0.108156376968298,0.0521719141798745,0.00541121955025033,500,5,5,1,1,0
0.0027970397319103,0.0417907986620903,0.00347202588703413,500,5,5,1,1,0
0.00061661587090599,0.05090153669765,0.00515090333818259,500,5,5,1,1,0
0.0154371414744348,0.0529370491743419,0.00557110149817473,500,5,5,1,1,0
0.019725025325196,0.0450335486250257,0.0040317533328453,500,5,5,1,1,0
0.0805161552783603,0.0487978691663744,0.00473394632143288,500,5,5,1,1,0
0.241743986004364,0.0489314640320452,0.00475990223479051,500,5,5,1,1,0
0.00388541054128281,0.0511338075092523,0.00519801917227881,500,5,5,1,1,0
0.175136587933554,0.0533948629949707,0.00566787893947041,500,5,5,1,1,0
0.150894172611203,0.0506530376609992,0.0051007331404979,500,5,5,1,1,0
0.120509947722397,0.0533142064746297,0.00565076845024225,500,5,5,1,1,0
