"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
19207.0033430856,2656.88116521484,569335.033830942,100,5,5,0,0,0.3,0
14012.127065538,2659.89772265132,548117.938711646,100,5,5,0,0,0.3,0
13462.3995755185,2615.18646226558,547926.553540597,100,5,5,0,0,0.3,0
26440.5956564089,2982.54148724969,746378.334584502,100,5,5,0,0,0.3,0
22304.1623590543,2955.38422254785,715325.715992877,100,5,5,0,0,0.3,0
21962.648761144,2577.69064694716,545650.762845041,100,5,5,0,0,0.3,0
21530.356502421,2916.90867706191,707845.515607076,100,5,5,0,0,0.3,0
19633.9581641315,2371.99283893983,490805.630182055,100,5,5,0,0,0.3,0
27779.7889194635,3090.57092886282,798993.076787362,100,5,5,0,0,0.3,0
20160.5135255628,3051.92991557013,756785.416360721,100,5,5,0,0,0.3,0
12397.7818838377,2888.5846768851,637568.447236326,100,5,5,0,0,0.3,0
15301.9520817593,2440.57944545659,486494.901233572,100,5,5,0,0,0.3,0
20828.347848149,2783.55117397372,626525.520205811,100,5,5,0,0,0.3,0
17721.4605356964,2854.63807672568,652038.633465117,100,5,5,0,0,0.3,0
14303.8887616485,2767.60765460962,575601.334211472,100,5,5,0,0,0.3,0
21265.2611731619,3100.25610054553,771630.063936121,100,5,5,0,0,0.3,0
24303.7317492109,2852.09415296127,680846.321049423,100,5,5,0,0,0.3,0
29599.1580189889,3490.12251130978,1050091.72596464,100,5,5,0,0,0.3,0
18180.8884143958,2781.05687730465,632740.328393797,100,5,5,0,0,0.3,0
14491.3946415844,2665.85623372392,539592.800011497,100,5,5,0,0,0.3,0
17260.4049786015,2971.09728937615,664792.752997079,100,5,5,0,0,0.3,0
12842.5172776879,2580.13721610704,504752.060517725,100,5,5,0,0,0.3,0
36392.5630801194,3334.60775035073,1043714.39633653,100,5,5,0,0,0.3,0
13998.1526284794,2484.34449849176,471743.528544331,100,5,5,0,0,0.3,0
18567.0960698501,2606.94440450028,566709.47689498,100,5,5,0,0,0.3,0
12730.8346063168,2427.95940918315,483100.410129453,100,5,5,0,0,0.3,0
14609.0037199354,2577.41548935309,534168.053942912,100,5,5,0,0,0.3,0
21320.5183346311,2612.13506612442,610420.079587544,100,5,5,0,0,0.3,0
13969.8070492555,3019.38222309047,752204.657631246,100,5,5,0,0,0.3,0
23625.0308482766,3369.15928120293,914899.989154238,100,5,5,0,0,0.3,0
21774.3500180126,3283.21327284427,887222.22456466,100,5,5,0,0,0.3,0
26040.1987558728,3119.14982421478,868626.728619665,100,5,5,0,0,0.3,0
24706.5387187003,2879.78421139064,688344.596299605,100,5,5,0,0,0.3,0
10880.2373353065,2225.16867935729,378059.399081394,100,5,5,0,0,0.3,0
16182.9295859001,2724.2136214363,591866.392361161,100,5,5,0,0,0.3,0
14096.8417440556,2213.65316639729,400701.374216645,100,5,5,0,0,0.3,0
19334.5908462714,3046.74345408825,748519.861738738,100,5,5,0,0,0.3,0
18936.7613094083,2528.19172698786,510476.876667717,100,5,5,0,0,0.3,0
23129.751200797,2793.46057702827,663511.84562479,100,5,5,0,0,0.3,0
23545.881660192,2510.32877385431,535269.95285144,100,5,5,0,0,0.3,0
17968.5325643976,2774.2590925085,585446.719112099,100,5,5,0,0,0.3,0
18168.858714455,2962.07644102086,705618.073106916,100,5,5,0,0,0.3,0
13011.7462137003,2483.17513881228,478875.334913206,100,5,5,0,0,0.3,0
20070.32148541,2897.81531730146,701836.46363128,100,5,5,0,0,0.3,0
11386.0978166452,2591.16951653021,517483.355937875,100,5,5,0,0,0.3,0
15145.3116236759,3011.53198117595,733139.961124593,100,5,5,0,0,0.3,0
24882.8300079854,3213.4454272078,854347.676745087,100,5,5,0,0,0.3,0
24978.9625097579,3041.32805341446,802566.832321132,100,5,5,0,0,0.3,0
23996.4803130977,3280.77000058289,879317.522068797,100,5,5,0,0,0.3,0
14454.9662343428,2430.44397420181,468338.553665809,100,5,5,0,0,0.3,0
19462.8216678142,2993.69030773266,723936.537175689,100,5,5,0,0,0.3,0
20326.480095187,2488.87250441112,548178.306874294,100,5,5,0,0,0.3,0
14334.6812927102,2541.63658557699,497395.513751184,100,5,5,0,0,0.3,0
16705.1620775514,3001.87672813898,704548.676132113,100,5,5,0,0,0.3,0
11801.3386519472,2371.4592873908,433992.206567334,100,5,5,0,0,0.3,0
18578.4495763881,2658.07206035609,573925.426519962,100,5,5,0,0,0.3,0
27525.2208059068,3014.24981958652,802979.83790521,100,5,5,0,0,0.3,0
23917.4744965085,3221.58060245799,882676.525147852,100,5,5,0,0,0.3,0
16443.2994760178,2341.12121140744,456287.622517654,100,5,5,0,0,0.3,0
15021.7922207429,2578.48885660734,533468.158734982,100,5,5,0,0,0.3,0
15809.9769964725,2944.85261860106,701976.293436371,100,5,5,0,0,0.3,0
11420.4523832148,2639.90636707363,562962.17335856,100,5,5,0,0,0.3,0
21634.1280703813,3242.06762987035,866884.432209529,100,5,5,0,0,0.3,0
23627.3002351418,3108.69298492538,800552.546974018,100,5,5,0,0,0.3,0
18644.0205195086,2734.93877291398,605392.336969303,100,5,5,0,0,0.3,0
24049.5708724114,3313.1301794532,931473.263220366,100,5,5,0,0,0.3,0
28666.4489969686,3244.41467702506,914690.613147302,100,5,5,0,0,0.3,0
14018.5716136421,2836.4548690133,607891.599075917,100,5,5,0,0,0.3,0
16477.2256888059,2509.48901277206,503945.964990223,100,5,5,0,0,0.3,0
