"C_XY_Z","E_C_XY_Z","Var_C_XY_Z","C_XYrZ","E_C_XYrZ","Var_C_XYrZ","nC_XY_Z","E_nC_XY_Z","Var_nC_XY_Z","nC_XYrZ","E_nC_XYrZ","Var_nC_XYrZ","n","p1","p2","p3","r1","r2","r3","r12","r13","r23"
0.0581425924846703,0.058135374497877,4.0056569216849e-08,-0.0459947338385691,0,0.00499697689666348,2.67681251566761e-05,0.000138406783421936,9.51382660283341e-08,0.0121210905209446,0.0579969677144551,0.00499703216909101,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0427336044978311,0.042738786294555,2.04510469489962e-08,0.0372104893636549,0,0.00255122720479337,0.000103454249741475,0.000101950476653127,4.94433354838613e-08,0.0798406396117445,0.0426368358179019,0.00255125629465108,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0497894740475985,0.0499261500785341,2.84285998344465e-08,-0.0254584688074194,0,0.00354641097214753,0.000255813842658271,0.000120254978561625,6.87469327133133e-08,0.0240751913975208,0.0498058950999724,0.00354645142742991,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0564593971815316,0.0566351862460884,3.74384517424193e-08,0.259572322809849,0,0.00467037197796332,4.09368824520229e-05,0.000131817166722735,8.81573004827623e-08,0.315990783108929,0.0565033690793656,0.00467042287108643,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0594380309544747,0.0596083726630012,4.22742954372439e-08,0.0310590060861903,0,0.0052736338072053,5.11369267352277e-05,0.000139647442895282,9.93685515268717e-08,0.0904459001139297,0.0594687252201059,0.0052736910995375,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0496579339640487,0.0496578590044921,2.81550101974159e-08,-0.0442493996866186,0,0.00351228121210724,0.000142897866839682,0.000119835375321477,6.81382527937395e-08,0.00526563641059035,0.0495380236291706,0.00351232133123835,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0435284622215744,0.0437825434503044,2.16313093087566e-08,-0.0406488006344938,0,0.00269846257364877,0.00016813611738293,0.000103098890376578,5.17924231387427e-08,0.00271152546969766,0.0436794445599279,0.00269849283663717,500,5,5,5,0.9,0.9,0.9,0,0,0
0.046178118627501,0.0461726461299829,2.41285511585663e-08,-0.00832697810513718,0,0.00300998849992883,1.57730737959452e-05,0.00010928495722169,5.78863771246047e-08,0.0378353674485679,0.0460633611727612,0.0030100223719734,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0526902880799388,0.0527087744703656,3.22092709010322e-08,0.0307578420014458,0,0.00401804212636196,0.000193593752030773,0.000126839371097223,7.74753915431631e-08,0.0832545363293538,0.0525819350992683,0.00401808754750058,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0483274102663111,0.0483802711419797,2.69220047172608e-08,-0.03026592052766,0,0.00335846624446886,8.38859566785523e-05,0.000113356962388503,6.39084350507942e-08,0.0179776037819726,0.0482669141795912,0.00335850335705792,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0489731418499832,0.0489016734742074,2.73471773826842e-08,-0.0386032432357167,0,0.00341150568413509,0.000387042274147366,0.00011636193439367,6.56121890877656e-08,0.0099828563401191,0.0487853115398137,0.00341154407929246,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0552024431803353,0.0552553789490064,3.59164681290581e-08,0.16069991999128,0,0.00448050756616374,9.82351083124255e-05,0.000131018103514003,8.52887585211224e-08,0.215804128063303,0.0551243608454924,0.0044805571087799,500,5,5,5,0.9,0.9,0.9,0,0,0
0.0566570764698497,0.0565872652272303,3.74740287092736e-08,-0.044535968867817,0,0.00467481013342446,1.03652521602326e-05,0.000134957279720758,8.94218334855667e-08,0.0121107423498725,0.0564523079475095,0.00467486225997593,500,5,5,5,0.9,0.9,0.9,0,0,0
0.053045172431689,0.0530167639289938,3.26543134090683e-08,-0.00374983580933887,0,0.00407356028915446,2.88987794151048e-05,0.000124206423601968,7.72878103508972e-08,0.0492664378429351,0.0528925575053918,0.00407360507565491,500,5,5,5,0.9,0.9,0.9,0,0,0
