"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12","semidef_pos"
78315.3451045478,4644.46549618274,2571923.4989524,100,5,5,0,0,0.9,0
46218.7110933743,3570.47417917845,1284885.43423646,100,5,5,0,0,0.9,0
88227.3390911387,4725.90272319034,3041856.42570144,100,5,5,0,0,0.9,0
75607.6594381465,4052.29542846207,2246739.64287694,100,5,5,0,0,0.9,0
57108.8462688164,4127.01941555397,1812526.8160799,100,5,5,0,0,0.9,0
74523.9694400109,4471.20684006921,2456442.10633265,100,5,5,0,0,0.9,0
60237.5882604271,3978.25430579469,1823401.02291574,100,5,5,0,0,0.9,0
68112.4969656015,4191.85009098153,2078636.9863434,100,5,5,0,0,0.9,0
53335.5375769938,4061.40738090304,1684332.67836032,100,5,5,0,0,0.9,0
54501.0489186139,3944.86623385388,1670933.21747731,100,5,5,0,0,0.9,0
51765.1982416925,3948.26416944175,1598172.43986815,100,5,5,0,0,0.9,0
83070.2082366253,5440.1419579617,3344761.57843044,100,5,5,0,0,0.9,0
87742.8197057156,5208.41875033395,3373408.60891712,100,5,5,0,0,0.9,0
80586.8799883874,4583.61159969637,2670932.69287268,100,5,5,0,0,0.9,0
71845.7135343272,4162.44010804199,2228570.14206138,100,5,5,0,0,0.9,0
70709.8296015801,4100.32528380896,2130089.3994975,100,5,5,0,0,0.9,0
73183.7208976013,3945.61533687767,2098983.11938216,100,5,5,0,0,0.9,0
94909.5170312146,5084.08482440594,3492450.42300952,100,5,5,0,0,0.9,0
65574.3341534762,4262.91383938377,2055700.33492747,100,5,5,0,0,0.9,0
92912.2737377986,4723.08583823476,3194241.48258075,100,5,5,0,0,0.9,0
63382.2805253652,4183.89878788186,1980804.38568455,100,5,5,0,0,0.9,0
85711.5337674814,4587.15007875318,2818636.86532914,100,5,5,0,0,0.9,0
103993.346245723,5526.6582520556,4261305.55618761,100,5,5,0,0,0.9,0
64655.1705042191,4348.33380523893,2123077.10673027,100,5,5,0,0,0.9,0
74810.5091766774,4900.59950720817,2741775.21867125,100,5,5,0,0,0.9,0
105854.11077551,5216.9887335505,3952379.70330227,100,5,5,0,0,0.9,0
49048.0982432032,4046.44333737443,1603730.3798739,100,5,5,0,0,0.9,0
57654.1705979646,4323.0942467152,1977832.93020756,100,5,5,0,0,0.9,0
104448.61369184,5305.67105291239,4031477.11741018,100,5,5,0,0,0.9,0
56126.0814486285,3828.93483958676,1600141.18125193,100,5,5,0,0,0.9,0
43868.1836586064,3508.85609166106,1240970.3103529,100,5,5,0,0,0.9,0
88617.3736303436,4867.99319367631,3177206.30168313,100,5,5,0,0,0.9,0
103205.146291283,4606.65874455006,3500520.34193875,100,5,5,0,0,0.9,0
78064.8907761448,5140.515074633,3048134.25878177,100,5,5,0,0,0.9,0
79334.2035428559,4598.63673721448,2676867.95330454,100,5,5,0,0,0.9,0
68203.9964641925,4448.13049140813,2253838.25917411,100,5,5,0,0,0.9,0
57669.8709295303,4263.43904351947,1957157.08903397,100,5,5,0,0,0.9,0
146110.984367439,5729.4875396315,6283197.74843635,100,5,5,0,0,0.9,0
58052.5450609148,4440.41082558798,2051363.23083905,100,5,5,0,0,0.9,0
92476.4428999576,5102.43917559159,3414264.20248574,100,5,5,0,0,0.9,0
34356.40951828,3014.87526790767,847527.007848859,100,5,5,0,0,0.9,0
70821.903406226,4045.49064190977,2122976.4754825,100,5,5,0,0,0.9,0
89542.8884942833,4977.20251588176,3210409.05341804,100,5,5,0,0,0.9,0
82015.8160218821,4368.23540183753,2647532.89439952,100,5,5,0,0,0.9,0
113733.625366026,5633.20698449211,4668656.74904776,100,5,5,0,0,0.9,0
38119.1210528857,3733.60933753295,1290296.46368842,100,5,5,0,0,0.9,0
81727.588127007,4448.52242545327,2613710.08685879,100,5,5,0,0,0.9,0
97447.8364013094,5124.80008009707,3617797.37769537,100,5,5,0,0,0.9,0
98702.0580421609,4678.67255570809,3390030.27287846,100,5,5,0,0,0.9,0
65526.157862633,4069.69293552303,2022317.13140978,100,5,5,0,0,0.9,0
130253.366237476,5436.88899673674,5135676.93558954,100,5,5,0,0,0.9,0
81238.6774896597,4444.66986685213,2641152.29767565,100,5,5,0,0,0.9,0
55572.7092055741,4160.67356886058,1829695.69222104,100,5,5,0,0,0.9,0
87013.6506655567,5044.18011881498,3243103.38019819,100,5,5,0,0,0.9,0
60699.4930355628,4106.18104217722,1900827.54684733,100,5,5,0,0,0.9,0
107975.111375042,5495.11043246349,4335702.1064247,100,5,5,0,0,0.9,0
121507.746740764,5648.2510698531,5106996.57806246,100,5,5,0,0,0.9,0
48730.9719084159,3902.50387072134,1527411.96057089,100,5,5,0,0,0.9,0
92061.7042515988,4836.72916599138,3184143.50289978,100,5,5,0,0,0.9,0
51470.5191780639,4410.94979821932,1867329.48382771,100,5,5,0,0,0.9,0
71458.2305028256,4124.82585126812,2202595.60977752,100,5,5,0,0,0.9,0
100050.343896355,4759.66326695598,3395764.55805079,100,5,5,0,0,0.9,0
55484.0408198172,3891.57534805117,1660488.65226444,100,5,5,0,0,0.9,0
66733.8986458945,3928.32225022989,1887163.68601752,100,5,5,0,0,0.9,0
42652.0239616888,3865.17616931048,1409092.9499468,100,5,5,0,0,0.9,0
67831.260931848,4517.20917168423,2350666.08066328,100,5,5,0,0,0.9,0
111085.338090702,4800.56933560875,3909792.47195718,100,5,5,0,0,0.9,0
87538.1961340343,4442.90027043316,2795540.45949472,100,5,5,0,0,0.9,0
100739.484729612,4802.10035345175,3489940.35290372,100,5,5,0,0,0.9,0
68995.8935100798,4611.65807736615,2379140.7369244,100,5,5,0,0,0.9,0
79656.8039263595,4847.54643221219,2818331.6366381,100,5,5,0,0,0.9,0
76504.4274886873,5098.98623410697,2878866.38647373,100,5,5,0,0,0.9,0
61590.8926427206,4503.12191176824,2185148.33042545,100,5,5,0,0,0.9,0
50754.0420781235,3384.24559619607,1288831.27823482,100,5,5,0,0,0.9,0
67558.05557921,4621.95210984364,2407103.46105111,100,5,5,0,0,0.9,0
87113.5473387466,4635.88303654634,2993762.52393214,100,5,5,0,0,0.9,0
62562.3875838891,3579.24135571781,1680942.09774074,100,5,5,0,0,0.9,0
85839.089103468,5032.54718493855,3149906.24808292,100,5,5,0,0,0.9,0
44929.0518742645,3547.20654718119,1226797.5982562,100,5,5,0,0,0.9,0
91529.5029251601,5050.95511431182,3362312.75381445,100,5,5,0,0,0.9,0
69811.6889666285,4491.47247602776,2292628.90750041,100,5,5,0,0,0.9,0
81110.1247200875,4473.13167556726,2657717.46397828,100,5,5,0,0,0.9,0
66173.9662521169,3942.20754183907,1911131.0755819,100,5,5,0,0,0.9,0
77511.1222623334,4345.66395338719,2448971.70892674,100,5,5,0,0,0.9,0
64861.623258083,4190.69861912368,2030058.02768541,100,5,5,0,0,0.9,0
79954.299360267,4683.04346097429,2735591.14788078,100,5,5,0,0,0.9,0
93007.589422328,5023.51223496494,3431191.3757683,100,5,5,0,0,0.9,0
96179.0654876962,5060.72263157715,3565538.70856786,100,5,5,0,0,0.9,0
62210.4499851318,4312.3774219077,2025683.37374429,100,5,5,0,0,0.9,0
70670.0477570212,4687.16639904738,2530125.95336562,100,5,5,0,0,0.9,0
73366.6686259983,4573.44635444841,2443650.0236138,100,5,5,0,0,0.9,0
93525.1876236423,4886.3371423571,3274841.70153844,100,5,5,0,0,0.9,0
87807.8584148056,5231.78987188702,3349754.88710893,100,5,5,0,0,0.9,0
76529.7538313198,4370.04979903489,2512303.65494217,100,5,5,0,0,0.9,0
67587.6339999015,4113.31642846927,2031356.71056303,100,5,5,0,0,0.9,0
107605.284075627,5696.82952182551,4486956.64275743,100,5,5,0,0,0.9,0
66715.4115982673,4423.84053213466,2202670.12707256,100,5,5,0,0,0.9,0
66479.4933081282,4369.99916002593,2257314.97351468,100,5,5,0,0,0.9,0
80619.0618805832,4340.01290982663,2544303.65360251,100,5,5,0,0,0.9,0
87861.1642002339,5027.47169429173,3266706.61982237,100,5,5,0,0,0.9,0
66493.5370895257,4262.22617271491,2091396.85414652,100,5,5,0,0,0.9,0
107300.711311145,5746.57629858989,4557588.83955009,100,5,5,0,0,0.9,0
89560.5418557933,4899.43088331375,3235419.10491097,100,5,5,0,0,0.9,0
68816.4337402382,4241.21022329811,2161256.65021648,100,5,5,0,0,0.9,0
75722.9415463441,4531.75294241298,2536496.72155519,100,5,5,0,0,0.9,0
49453.3454225324,4071.22839401828,1654743.72870828,100,5,5,0,0,0.9,0
88580.5603023856,4626.4833194481,2967166.9262467,100,5,5,0,0,0.9,0
99613.9412401768,4616.37473044057,3296050.37713939,100,5,5,0,0,0.9,0
80439.5283383757,4238.5500700059,2481158.07923301,100,5,5,0,0,0.9,0
62861.1396936878,4760.57354704375,2326556.58333463,100,5,5,0,0,0.9,0
45932.5587454423,3249.96801647976,1199088.97309464,100,5,5,0,0,0.9,0
80208.8393035484,4459.66430919611,2597207.27244845,100,5,5,0,0,0.9,0
68219.667783066,4260.00389983116,2164629.4827311,100,5,5,0,0,0.9,0
64882.4978651449,4397.24769958341,2151302.39447641,100,5,5,0,0,0.9,0
64328.9018850533,3963.15385769172,1879877.68102424,100,5,5,0,0,0.9,0
85976.8336261201,4787.54183950888,2971981.82970304,100,5,5,0,0,0.9,0
103509.884507419,5497.99336850801,4118813.12342957,100,5,5,0,0,0.9,0
92153.5380049612,4858.17641489214,3234600.27001691,100,5,5,0,0,0.9,0
70923.5820886378,4498.68049737519,2297141.75265171,100,5,5,0,0,0.9,0
124263.459433495,5268.22606666219,4800872.91460166,100,5,5,0,0,0.9,0
57643.0030820475,3937.76559944909,1745615.66994139,100,5,5,0,0,0.9,0
122051.261497209,5848.15449793733,5186740.82522282,100,5,5,0,0,0.9,0
132845.850162168,6141.59090141388,5919811.1719518,100,5,5,0,0,0.9,0
91056.4411512382,5182.02794450119,3382558.6699763,100,5,5,0,0,0.9,0
84775.9239603468,5291.86661850851,3438255.3095316,100,5,5,0,0,0.9,0
152577.61738243,5611.90238781171,6480240.47450302,100,5,5,0,0,0.9,0
147319.145175278,5748.74678668728,6298320.1238447,100,5,5,0,0,0.9,0
71193.8276709202,4529.32721673646,2432294.03398259,100,5,5,0,0,0.9,0
93480.4022394154,5075.15655534716,3528009.11108443,100,5,5,0,0,0.9,0
68627.9595451954,4170.88020052285,2149966.82927332,100,5,5,0,0,0.9,0
115855.420302663,5371.78793127331,4600812.71930294,100,5,5,0,0,0.9,0
81283.6375669185,4851.77908845685,2915142.40305389,100,5,5,0,0,0.9,0
79784.1037895506,4868.9027597608,2812241.75189816,100,5,5,0,0,0.9,0
80120.8486597477,4820.94562148391,2818105.36243453,100,5,5,0,0,0.9,0
88999.942142475,4698.82297324942,3107186.14036079,100,5,5,0,0,0.9,0
51183.5071208306,4029.43655027146,1632394.36390741,100,5,5,0,0,0.9,0
51755.5877694603,4374.36510701046,1850927.29654488,100,5,5,0,0,0.9,0
62913.0939841507,4532.00588143712,2175682.34174882,100,5,5,0,0,0.9,0
79036.6865481828,4416.45011660487,2540533.23901611,100,5,5,0,0,0.9,0
79653.5276061193,4374.97759420875,2562922.49458727,100,5,5,0,0,0.9,0
85838.9501104162,4815.02594710442,3065264.09726775,100,5,5,0,0,0.9,0
106744.584648891,5788.06879488842,4475205.21787896,100,5,5,0,0,0.9,0
72684.648688015,4482.90621846598,2424297.99509331,100,5,5,0,0,0.9,0
74699.7284157914,4646.70553633202,2599135.15478989,100,5,5,0,0,0.9,0
111449.058726425,5155.80540440256,4211551.15930559,100,5,5,0,0,0.9,0
75232.3842985549,4515.76412048593,2475444.64514223,100,5,5,0,0,0.9,0
91148.4181251571,5143.32462867053,3432325.62104646,100,5,5,0,0,0.9,0
73055.571025857,4453.13953435487,2373556.43559426,100,5,5,0,0,0.9,0
62156.7138920356,4187.70246359096,1940515.24598031,100,5,5,0,0,0.9,0
75425.1003277,4098.6185427723,2266486.45851459,100,5,5,0,0,0.9,0
78338.962743786,3890.1482823814,2200463.33725207,100,5,5,0,0,0.9,0
63973.1503626995,3967.48598852065,1959896.20289779,100,5,5,0,0,0.9,0
66119.3604494595,4275.75976832462,2124661.04307588,100,5,5,0,0,0.9,0
