"C_XY_Z","E_C_XY_Z","Var_C_XY_Z","C_XYrZ","E_C_XYrZ","Var_C_XYrZ","nC_XY_Z","E_nC_XY_Z","Var_nC_XY_Z","nC_XYrZ","E_nC_XYrZ","Var_nC_XYrZ","n","p1","p2","p3","r1","r2","r3","r12","r13","r23","semipos_def"
0.451003718912466,0.448552458635201,4.79954345332754e-06,6.89878050716178,0,0.0237481410070647,0.00884137803811129,0.020463707725126,8.9975173259962e-05,7.34094284803613,0.428088750910075,0.0238337545631497,100,5,5,5,0,0,0,0.9,0,0,0
0.558249178261193,0.558956556085089,1.01031963162689e-05,11.5617836717662,0,0.0499906153728983,0.0318139216078408,0.0256990664162406,0.000165354599130565,12.0882189284196,0.533257489668849,0.0501467958021649,100,5,5,5,0,0,0,0.9,0,0,0
0.481315836259624,0.483593566079936,5.96095877871932e-06,7.66743178311719,0,0.0294948240371032,0.025435266650308,0.0226693252077535,0.00011092501705716,8.12331235272651,0.460924240872182,0.0296003469568826,100,5,5,5,0,0,0,0.9,0,0,0
0.508243543202395,0.507867783828812,6.85880886130077e-06,8.59503501822089,0,0.0339373862457162,0.0304149253988359,0.0238720722115866,0.000125462464268923,9.07286363602445,0.483995711617225,0.0340566346909122,100,5,5,5,0,0,0,0.9,0,0,0
0.447511549760906,0.448812827915134,5.89140956631084e-06,8.40190679960483,0,0.029150694534106,0.0280619992656562,0.0208409184126699,0.000101837167487814,8.82135635010008,0.427971909502464,0.0292471874349721,100,5,5,5,0,0,0,0.9,0,0,0
0.402844671687177,0.402639437706545,4.0417303707594e-06,6.29264239980914,0,0.0199984818745175,0.0160292415780208,0.0198325228421368,7.94771004116781e-05,6.6794578299183,0.382806914864409,0.0200743154058034,100,5,5,5,0,0,0,0.9,0,0,0
0.518181675170425,0.49255524604985,6.84210247125155e-06,8.76720295848265,0,0.0338547230277527,0.0956012065434412,0.0228955909855413,0.000120789114651309,9.18978342710964,0.469659655064308,0.0339693061268729,100,5,5,5,0,0,0,0.9,0,0,0
0.38792598228786,0.389133062477633,3.56981495250698e-06,5.17617942810927,0,0.0176634443850045,0.0291368883540301,0.0187265358918108,7.06243831940543e-05,5.5349685220431,0.370406526585822,0.0177308425388947,100,5,5,5,0,0,0,0.9,0,0,0
0.391777256418698,0.390473052906008,3.75053590230263e-06,5.81968837520554,0,0.0185576516445934,0.0302722629523512,0.0179577868535049,6.99469983057485e-05,6.18119336867188,0.372515266052503,0.0186241930799665,100,5,5,5,0,0,0,0.9,0,0,0
0.486962636522932,0.483821452730738,6.38605347057605e-06,8.32508668225939,0,0.0315981925724103,0.0441515044251177,0.0238955573229184,0.00012057810686141,8.76789781435721,0.45992589540782,0.03171301543002,100,5,5,5,0,0,0,0.9,0,0,0
0.562801130936922,0.563236649635989,9.82413137562508e-06,11.2760963320348,0,0.0486098020465929,0.0235050921643673,0.026012752549509,0.00016447893615046,11.8153923708073,0.53722389708648,0.0487653642947972,100,5,5,5,0,0,0,0.9,0,0,0
0.462103523034868,0.459869082363855,4.95307653812505e-06,6.5683397386497,0,0.0245078227106428,0.0351232250401434,0.0199303093784874,8.94002416902805e-05,6.99532003664442,0.439938772985367,0.0245926991994941,100,5,5,5,0,0,0,0.9,0,0,0
0.484112635792538,0.45967838730546,6.20821036314067e-06,8.03182875556682,0,0.03071822487682,0.0939118539477777,0.0224659140497894,0.000112381570811353,8.42202953741158,0.437212473255671,0.0308250050664091,100,5,5,5,0,0,0,0.9,0,0,0
0.465971333282998,0.45337517458803,5.3691700114159e-06,7.44805260105374,0,0.0265666532164859,0.0654598084305783,0.0210874526709827,9.80657568527513e-05,7.84856412590616,0.432287721917048,0.0266598492665746,100,5,5,5,0,0,0,0.9,0,0,0
0.434922200897079,0.430048564205405,4.90315855129616e-06,7.13222129814803,0,0.0242608285118134,0.0448743208451179,0.0198525180777431,8.84140379196244e-05,7.52226917819999,0.410196046127662,0.0243447920844442,100,5,5,5,0,0,0,0.9,0,0,0
0.446841163054609,0.440791264562124,4.38716297956699e-06,5.88417421261404,0,0.0217076824228975,0.0503476941643499,0.0214557960191735,8.96318470863065e-05,6.28066768150429,0.419335468542951,0.0217933542029181,100,5,5,5,0,0,0,0.9,0,0,0
0.397070138488424,0.396211495014484,3.22085773205173e-06,4.79765483953908,0,0.015936804058192,0.0295202364828508,0.0186322462803034,6.66924984801163e-05,5.16520474154465,0.37757924873418,0.0160005786271249,100,5,5,5,0,0,0,0.9,0,0,0
0.565597269386613,0.562312350303129,8.46218415320096e-06,9.73969025435354,0,0.0418708871900384,0.0494449861120747,0.0277087895880028,0.000160963844626712,10.2558425376281,0.534603560715126,0.0420242228242989,100,5,5,5,0,0,0,0.9,0,0,0
0.493343513506516,0.490861729658463,7.46216731117464e-06,9.83054386798671,0,0.0369228038556921,0.0399467714075823,0.0228614026221741,0.00012590015390415,10.2839406100856,0.468000327036289,0.0370419369285019,100,5,5,5,0,0,0,0.9,0,0,0
0.481571935591399,0.484058058944552,6.87364459173219e-06,9.29670720361212,0,0.0340107934398909,0.0201087711289254,0.0231119800182254,0.000121637880943522,9.75817036807459,0.460946078926327,0.0341262140583998,100,5,5,5,0,0,0,0.9,0,0,0
0.452664035161028,0.455049642391782,5.41533249280705e-06,7.54985349855662,0,0.0267950651744093,0.0189075100593631,0.0218152479242026,0.000101574784054678,7.98361002365829,0.433234394467579,0.0268917438520508,100,5,5,5,0,0,0,0.9,0,0,0
0.514370429897388,0.492449198843307,6.73779996387697e-06,8.9226383744211,0,0.0333386342212632,0.0898353742374018,0.0240612473604113,0.000125108822547178,9.34717343008109,0.468387951482895,0.0334576636665711,100,5,5,5,0,0,0,0.9,0,0,0
0.396272067484395,0.388024171286293,3.64152277577863e-06,5.57974789810709,0,0.0180182546945527,0.0499293523564742,0.0181539624059782,6.93528004419265e-05,5.92609061323501,0.369870208880315,0.0180843067142265,100,5,5,5,0,0,0,0.9,0,0,0
0.511341586229125,0.50978874600585,8.94005610141434e-06,11.3471343260001,0,0.0442353975897982,0.0387266627198703,0.0242579868357313,0.00014626925883369,11.8197492495094,0.485530759170119,0.0443735776067742,100,5,5,5,0,0,0,0.9,0,0,0
0.460181968237637,0.459083649197319,4.54969928868538e-06,6.05424268856763,0,0.0225119120804153,0.0114101498258084,0.0220703516847554,9.37636597493938e-05,6.50301450697946,0.437013297512563,0.0226015634925845,100,5,5,5,0,0,0,0.9,0,0,0
0.427386733876707,0.421422976647398,4.97234324878309e-06,7.58824614382215,0,0.0246031543949787,0.0467884747368722,0.0197959089351613,8.87127919142413e-05,7.96884440296199,0.401627067712236,0.024687361985018,100,5,5,5,0,0,0,0.9,0,0,0
0.621358499692522,0.620957559548786,1.18679288549844e-05,12.4430337290249,0,0.0587225119744626,0.0373157051688804,0.0284736401301365,0.000197991240997127,13.0270765235485,0.59248391941865,0.0589097236802642,100,5,5,5,0,0,0,0.9,0,0,0
0.468364200748049,0.468153755854213,5.55200403996368e-06,7.23788523578739,0,0.0274713159897403,0.0172925717870551,0.0212407698464182,0.000100625934624552,7.68895686474839,0.446912986007794,0.0275668937242078,100,5,5,5,0,0,0,0.9,0,0,0
0.566999090610626,0.567385080231873,9.33054231734498e-06,10.7660272488274,0,0.046167523386223,0.0295268429804001,0.0257249341072101,0.000158547194568084,11.3034994964576,0.541660146124663,0.0463175861220056,100,5,5,5,0,0,0,0.9,0,0,0
0.358473201394466,0.360456529294787,2.95997081463741e-06,4.88230869200914,0,0.0146459355908259,0.0213482913275048,0.016440201059752,5.66869653839805e-05,5.2194336020761,0.344016328235035,0.0146999325902994,100,5,5,5,0,0,0,0.9,0,0,0
0.56603226035871,0.554538318950068,1.20775228603258e-05,13.7868132768005,0,0.0597595831128922,0.072129955453704,0.0264773667741382,0.000186336968548238,14.2807155817055,0.52806095217593,0.059934995881954,100,5,5,5,0,0,0,0.9,0,0,0
0.575001290197181,0.575091047250341,1.06491876150243e-05,11.9089883714215,0,0.0526921803191402,0.0288841670446407,0.0274385885330754,0.000180216986332698,12.455105494574,0.547652458717265,0.0528627643001774,100,5,5,5,0,0,0,0.9,0,0,0
0.448343253552728,0.446266250641269,4.20193200762473e-06,5.37249516477241,0,0.0207911595737272,0.0395933465472221,0.0217923679822648,8.87898984255003e-05,5.78124507177792,0.424473882659004,0.0208761579231772,100,5,5,5,0,0,0,0.9,0,0,0
0.426006556399701,0.425696504789269,5.07001274751423e-06,7.79831348443716,0,0.0250864230747004,0.0252743204148503,0.0200997999669325,9.08799120446221e-05,8.19904572042201,0.405596704822337,0.0251727117481519,100,5,5,5,0,0,0,0.9,0,0,0
0.406924551986173,0.406711481968407,4.01737803238459e-06,6.26354427579183,0,0.0198779865042389,0.0228478278992911,0.0184123309518064,7.41402592307112e-05,6.64762099987871,0.3882991510166,0.0199484731287648,100,5,5,5,0,0,0,0.9,0,0,0
0.320734788888837,0.321715045747572,1.88064008566077e-06,2.95354823870353,0,0.00930540714384947,0.0169999252896367,0.015324392562256,4.17354480036149e-05,3.25728310230273,0.306390653185316,0.00934544111446013,100,5,5,5,0,0,0,0.9,0,0,0
0.364202886819525,0.3642482284677,2.80962667274791e-06,4.28394926923198,0,0.0139020327767567,0.0215883653076092,0.0175830218453931,5.86454027428457e-05,4.62656379074389,0.346665206622307,0.0139581398059081,100,5,5,5,0,0,0,0.9,0,0,0
0.356985088025153,0.347277143996497,2.99789580692853e-06,5.53360137733022,0,0.0148335884526823,0.050524796665813,0.0162501789059631,5.63661595968275e-05,5.84006166868956,0.331026965090534,0.0148872372782313,100,5,5,5,0,0,0,0.9,0,0,0
0.40505076612369,0.393505410738948,2.85151862994552e-06,3.72660776553281,0,0.0141093141809704,0.0563462335278393,0.0174562896655527,5.89561587884078e-05,4.07531229812866,0.376049121073395,0.0141656718135088,100,5,5,5,0,0,0,0.9,0,0,0
0.358630834114517,0.35828035156391,2.98707723663878e-06,5.20810933906631,0,0.0147800581668887,0.0233846816255921,0.0169133877711209,5.84723730467489e-05,5.54335549155524,0.341366963792789,0.0148358254853963,100,5,5,5,0,0,0,0.9,0,0,0
0.424086601516474,0.423948388198496,5.31243556262484e-06,8.22755690160444,0,0.0262859311638677,0.0309026223470756,0.0198449063056169,9.2026507360745e-05,8.62074088077384,0.404103481892879,0.0263731425829323,100,5,5,5,0,0,0,0.9,0,0,0
0.423345298466848,0.421916311829416,4.09810079765431e-06,5.35380331260215,0,0.0202774027467935,0.0306031472205841,0.0188286871577991,7.67239814748227e-05,5.74654546384841,0.403087624671617,0.0203503943960162,100,5,5,5,0,0,0,0.9,0,0,0
0.476420603971916,0.475099738745128,5.88717282146887e-06,7.96176926039569,0,0.029129731120628,0.0418680917839522,0.0231554719974801,0.000112218438277585,8.39632177258366,0.451944266747648,0.0292366362456521,100,5,5,5,0,0,0,0.9,0,0,0
0.537371517087418,0.53798133998611,8.32082986587172e-06,9.80309620828509,0,0.0411714661763333,0.0289646200834748,0.026013364093923,0.000150411026198253,10.311503105289,0.511967975892187,0.0413143610577384,100,5,5,5,0,0,0,0.9,0,0,0
0.472783496361371,0.472572335536075,6.42118244505493e-06,8.56612884909353,0,0.0317720107381318,0.0269352419817349,0.0224799499651124,0.000114468702824949,9.01197710347317,0.450092385570962,0.0318806691612211,100,5,5,5,0,0,0,0.9,0,0,0
0.513941351369856,0.513891223084307,7.68397489720881e-06,9.76373280044983,0,0.0380203077913892,0.0216241572219232,0.0238772970977132,0.000133212935533572,10.2560499945978,0.490013925986593,0.0381465508041178,100,5,5,5,0,0,0,0.9,0,0,0
0.375722009735032,0.367912645321048,3.56664067846195e-06,6.03610836403885,0,0.0176477380770297,0.0472869009045664,0.0172025793902594,6.52110533062552e-05,6.36454347286931,0.350710065930789,0.0177097160221969,100,5,5,5,0,0,0,0.9,0,0,0
0.537212703439246,0.4428028399761,4.44439387875365e-06,5.98784131648706,0,0.0219908609120731,0.195811677794724,0.0202335021375507,8.54610704083603e-05,6.32924234213158,0.422569337838549,0.0220722837542589,100,5,5,5,0,0,0,0.9,0,0,0
0.437426053817122,0.438046782659809,4.95081996014916e-06,7.14834815057735,0,0.0244966571628181,0.0232745333994242,0.0208289559178666,9.28157911505811e-05,7.56249967099505,0.417217826741942,0.0245849929531757,100,5,5,5,0,0,0,0.9,0,0,0
0.31055679885873,0.309820874017402,2.19902561403019e-06,4.21644359065833,0,0.0108807787382214,0.00852634915007288,0.0145048697103451,4.31253887044555e-05,4.51847404036699,0.295316004307057,0.0109219110046753,100,5,5,5,0,0,0,0.9,0,0,0
0.441835835966632,0.43097102701823,5.57417365397974e-06,8.44833561879854,0,0.0275810112398918,0.0580380810358459,0.019002377398862,9.08932273765904e-05,8.83213337372933,0.411968649619368,0.0276668218466183,100,5,5,5,0,0,0,0.9,0,0,0
0.450972494008743,0.447420330149742,5.28443125826011e-06,7.25202529865433,0,0.026147365865871,0.0419258153258589,0.0207163737654694,9.57342571980573e-05,7.66107197733721,0.426703956384273,0.0262383050493375,100,5,5,5,0,0,0,0.9,0,0,0
0.545737905767649,0.542377571864648,9.33494455134658e-06,11.1601716395289,0,0.0461893056400629,0.0108798129992753,0.0258854209928917,0.000159304234792138,11.6950297322973,0.516492150871757,0.0463401659662985,100,5,5,5,0,0,0,0.9,0,0,0
0.373916857940933,0.373922415644766,3.26387936771622e-06,5.37823095778267,0,0.0161496751114599,0.0193552731041181,0.017785765042378,6.41715361822534e-05,5.73279254261948,0.356136650602388,0.0162108932636559,100,5,5,5,0,0,0,0.9,0,0,0
0.455933209236738,0.44309508923005,6.19806116714203e-06,9.02321425058682,0,0.0306680066550188,0.0652889029621118,0.0207433520845628,0.000104083911631735,9.41385855686145,0.422351737145487,0.0307664728259074,100,5,5,5,0,0,0,0.9,0,0,0
0.470670675932702,0.458437702745721,5.29155959131097e-06,7.02337014475185,0,0.0261826368578067,0.0664153374805699,0.0220853261095161,0.00010160627039008,7.42762548320398,0.436352376636205,0.0262794614124446,100,5,5,5,0,0,0,0.9,0,0,0
0.604941827921492,0.594428658982253,1.23997377844943e-05,13.5710347457883,0,0.0613539025576776,0.0737684776998502,0.0287547927705769,0.00020395575670102,14.10220809601,0.565673866211676,0.0615466582222876,100,5,5,5,0,0,0,0.9,0,0,0
0.571581863979775,0.553486135459728,1.09207159880032e-05,12.7149275686297,0,0.0540357027086398,0.0861619966593935,0.0260202096160595,0.000174086506442724,13.20034743595,0.527465925843669,0.0541998952974222,100,5,5,5,0,0,0,0.9,0,0,0
0.443461357365723,0.441884083907797,6.1768773381162e-06,8.98511731367264,0,0.0305631890689989,0.0353422036984544,0.0206045695261551,0.000103265563658602,9.39323646733991,0.421279514381642,0.0306608537973323,100,5,5,5,0,0,0,0.9,0,0,0
0.399570053812215,0.399181475323963,3.38697217830413e-06,5.06144548903301,0,0.0167587383382488,0.0139632956940705,0.019346144965441,7.08250310818262e-05,5.44705224715115,0.379835330358522,0.0168265046932222,100,5,5,5,0,0,0,0.9,0,0,0
0.372582841090389,0.372593038246904,2.8818511382976e-06,4.02264939523279,0,0.0142593994322965,0.0184060107520055,0.0172313524608018,5.84300443043651e-05,4.37682622557117,0.355361685786102,0.0143152141800549,100,5,5,5,0,0,0,0.9,0,0,0
0.449483971189472,0.449489947650551,5.52885877425424e-06,7.75660685716586,0,0.02735679321501,0.0214090880154396,0.0214019002305328,0.000100882285118783,8.18468174033989,0.428088047420018,0.02745267314071,100,5,5,5,0,0,0,0.9,0,0,0
