"C_XY","E_C_XY","Var_C_XY","n","p1","p2","m_A","sd_A","sd_E"
1935.02500219187,2578.96770660204,544513.591217596,100,5,5,0,0,1
2148.45899068797,2326.21077788554,433898.552157104,100,5,5,0,0,1
1861.38126038049,2546.18060515439,494579.721619166,100,5,5,0,0,1
2797.66852736083,2599.17795489303,549594.771633901,100,5,5,0,0,1
2868.79738464199,3154.69934594817,808041.115809889,100,5,5,0,0,1
1053.21022591572,2300.20015435443,410137.468972368,100,5,5,0,0,1
1055.22418710984,2411.83402509555,473240.21338696,100,5,5,0,0,1
3906.92245559642,2426.82525814655,477024.175704767,100,5,5,0,0,1
2546.58276886563,2614.69437406653,566491.128108696,100,5,5,0,0,1
1587.7008880725,2413.64805153934,470571.311554398,100,5,5,0,0,1
2597.56905797898,2785.07692237148,615430.063275245,100,5,5,0,0,1
2194.34430283925,2320.73176615451,446463.304191127,100,5,5,0,0,1
2525.67810851769,2500.78960160531,529762.550859421,100,5,5,0,0,1
2560.32883642317,2591.46033539573,561526.113814032,100,5,5,0,0,1
2770.51110736882,2699.00318162026,578242.706749526,100,5,5,0,0,1
1659.79377836418,2458.45780218442,488498.39192108,100,5,5,0,0,1
4871.89352196398,2907.76389699521,656949.467861843,100,5,5,0,0,1
1394.48420177206,2038.15790354093,325740.965929933,100,5,5,0,0,1
3132.39440464272,2631.1545452544,527882.761237542,100,5,5,0,0,1
3459.19715051384,2503.99279131347,496207.603875165,100,5,5,0,0,1
1765.36785333468,2107.08674664591,378113.121975453,100,5,5,0,0,1
2992.71175838062,2843.45365052623,631257.529596609,100,5,5,0,0,1
2118.01954657151,2592.67251239763,527294.738766834,100,5,5,0,0,1
1547.14459502952,2513.82462056979,496821.664316256,100,5,5,0,0,1
1790.08807269031,2367.0690631255,432363.439338376,100,5,5,0,0,1
2631.04309062672,2728.36228385616,604443.708459509,100,5,5,0,0,1
1192.50793691714,2063.06487428499,343839.33034194,100,5,5,0,0,1
1552.60731315231,2446.14873634167,474885.384274318,100,5,5,0,0,1
2096.49144847869,2324.55112707974,438979.882137227,100,5,5,0,0,1
2730.07426685651,2178.19139852633,367887.871769803,100,5,5,0,0,1
2621.94389751724,2159.60678132658,371729.473252869,100,5,5,0,0,1
4590.6388953733,2595.29026243133,535481.445376903,100,5,5,0,0,1
2298.72340560806,2452.82436101857,462013.67840084,100,5,5,0,0,1
2453.71660472455,2207.84265105493,410839.372700832,100,5,5,0,0,1
1784.89426940203,2047.06658237974,334306.149432987,100,5,5,0,0,1
1758.45102699399,2627.61185556912,568190.763773333,100,5,5,0,0,1
3761.3738608755,2336.14590970062,444733.589927073,100,5,5,0,0,1
2017.70988855256,2580.49277658911,532949.989031924,100,5,5,0,0,1
3626.87614889596,2515.3801756604,523359.267098937,100,5,5,0,0,1
1760.49333294242,2336.86896235262,426008.321464813,100,5,5,0,0,1
2521.73062786303,2482.87377545099,491681.515161731,100,5,5,0,0,1
1656.57264765603,2282.71167574622,431124.6911184,100,5,5,0,0,1
2573.51398905635,2434.23465098326,475217.080523852,100,5,5,0,0,1
3152.66203394294,2856.64625390911,647497.453573793,100,5,5,0,0,1
3418.40198855717,2762.52616014318,606150.863929505,100,5,5,0,0,1
2591.1616676303,2901.49689499824,694402.3539095,100,5,5,0,0,1
4781.42864774611,2663.77944458084,567730.519030454,100,5,5,0,0,1
2050.05439624445,2269.73817763197,399637.529011502,100,5,5,0,0,1
3065.98763592535,2494.71509339079,479952.220903722,100,5,5,0,0,1
4694.02046093641,2561.20041238128,528094.743810975,100,5,5,0,0,1
2197.23797925465,2428.59813649521,475736.3447683,100,5,5,0,0,1
2653.72221060971,2594.93704899588,525920.319635819,100,5,5,0,0,1
2613.07624284688,2366.03933841063,441720.688898042,100,5,5,0,0,1
1921.85245003122,2483.3877373455,491832.382719937,100,5,5,0,0,1
1971.30134468523,2488.32280552918,483948.78232574,100,5,5,0,0,1
3376.77275938904,2769.90961935695,611424.192905351,100,5,5,0,0,1
2426.07342391487,2639.52248670305,542615.865092719,100,5,5,0,0,1
2489.88381653236,2476.4569068278,500028.35456747,100,5,5,0,0,1
3754.58556651321,2598.84317571526,530929.35314946,100,5,5,0,0,1
3082.66981679083,2564.6286408992,505075.256429528,100,5,5,0,0,1
3421.42477497986,2398.37126348805,451529.687030284,100,5,5,0,0,1
2628.57875425848,2652.63412613131,560848.374220971,100,5,5,0,0,1
1736.81109681278,2637.71869177522,543477.596925294,100,5,5,0,0,1
2963.5857902639,2163.06013579144,379473.901940918,100,5,5,0,0,1
2233.92621834273,2698.81407980863,582363.090152478,100,5,5,0,0,1
2670.38047937037,2654.29828941608,550122.891381438,100,5,5,0,0,1
