C_XY,E_C_XY,Var_C_XY,n,p1,p2,r1,r2,r12
3.2412896279478587,0.014343260723109486,8.347307679376192e-5,500,10,10,0.5,0.5,0
2.762982527550436,0.012990399821887407,6.0621381354311364e-5,500,10,10,0.5,0.5,0
2.465431606701696,0.01144736657094474,4.827324187616816e-5,500,10,10,0.5,0.5,0
2.6322638506282967,0.012107226824754555,5.503227066558912e-5,500,10,10,0.5,0.5,0
2.4477106126026693,0.011856783751035856,4.756257665817892e-5,500,10,10,0.5,0.5,0
2.4702072937807853,0.011199565192983823,4.8471082006705765e-5,500,10,10,0.5,0.5,0
2.973297395996131,0.012884908221781049,7.02534056206488e-5,500,10,10,0.5,0.5,0
2.551654245037588,0.012242934041997808,5.169267734741235e-5,500,10,10,0.5,0.5,0
2.753459962551372,0.01288259148467484,6.0207010291087286e-5,500,10,10,0.5,0.5,0
2.662193104110785,0.011950495857760764,5.630334417590357e-5,500,10,10,0.5,0.5,0
2.617776730553451,0.011739179948872865,5.4440770789033254e-5,500,10,10,0.5,0.5,0
2.934037781484768,0.013159297119750772,6.838957523047463e-5,500,10,10,0.5,0.5,0
3.2984155455910082,0.014622917200805495,8.64399235767007e-5,500,10,10,0.5,0.5,0
3.236441132850073,0.014060998533610423,8.323700975588889e-5,500,10,10,0.5,0.5,0
2.46848029935773,0.01193544203179285,4.8374036153031355e-5,500,10,10,0.5,0.5,0
3.0218635345965748,0.013616966330859638,7.2542043747705e-5,500,10,10,0.5,0.5,0
2.7200261686678284,0.012716887308833828,5.875416672624675e-5,500,10,10,0.5,0.5,0
3.030825865051234,0.01320285151464238,7.299496310051108e-5,500,10,10,0.5,0.5,0
3.2454025249292706,0.014247747721485748,8.369094096363648e-5,500,10,10,0.5,0.5,0
2.924179085714763,0.01339785326485954,6.791755752096273e-5,500,10,10,0.5,0.5,0
3.2036668346413806,0.013924016850788421,8.155944531536658e-5,500,10,10,0.5,0.5,0
3.3624447403168003,0.014983587140370139,8.982433664418373e-5,500,10,10,0.5,0.5,0
2.9125412207002874,0.012866569629236478,6.740024434716126e-5,500,10,10,0.5,0.5,0
3.3399082017737167,0.01459373379520791,8.863971904341673e-5,500,10,10,0.5,0.5,0
2.800506152971387,0.012928053792778484,6.228981121307765e-5,500,10,10,0.5,0.5,0
2.561175579649733,0.01238943497587025,5.207505319707134e-5,500,10,10,0.5,0.5,0
2.3032248992640585,0.01149323330029672,4.210081065804967e-5,500,10,10,0.5,0.5,0
3.2459246753423447,0.014038734442166257,8.372882135318305e-5,500,10,10,0.5,0.5,0
3.2061118856976396,0.013987710633211694,8.168126998237064e-5,500,10,10,0.5,0.5,0
