C_XY,E_C_XY,Var_C_XY,n,p1,p2,r1,r2,r12
2.8096044023015603,0.0318111259534967,6.185328528585006e-5,500,10,10,0.2,0.2,0
2.5014213512905674,0.029486005877620017,4.8982070813407946e-5,500,10,10,0.2,0.2,0
2.5128030312169645,0.03199714895102584,4.9334245769387195e-5,500,10,10,0.2,0.2,0
2.563012842916342,0.030152041621117735,5.142633479016174e-5,500,10,10,0.2,0.2,0
2.4515809837270766,0.03080904420114507,4.6975420910757925e-5,500,10,10,0.2,0.2,0
2.344182494112555,0.02885174016630145,4.2972340461000295e-5,500,10,10,0.2,0.2,0
2.4985817085065327,0.03182484270685766,4.877705981586895e-5,500,10,10,0.2,0.2,0
2.6830421186755524,0.03209004677547243,5.633349275353973e-5,500,10,10,0.2,0.2,0
2.6360809003643553,0.031386095447337496,5.438468466089268e-5,500,10,10,0.2,0.2,0
2.7181745639863055,0.03233229711136191,5.7826104277645e-5,500,10,10,0.2,0.2,0
2.736317745980223,0.03204903325644923,5.862226767843187e-5,500,10,10,0.2,0.2,0
2.6040106141560164,0.0304178105671906,5.3093651401487724e-5,500,10,10,0.2,0.2,0
2.2960454586987296,0.02913589366185469,4.1193748856148536e-5,500,10,10,0.2,0.2,0
2.4949218998712848,0.030729826887840712,4.86756813485835e-5,500,10,10,0.2,0.2,0
2.495953544824933,0.03089482316019867,4.870992554052838e-5,500,10,10,0.2,0.2,0
2.448613556658115,0.029879056970907963,4.689638057200558e-5,500,10,10,0.2,0.2,0
2.669504583882561,0.031260825056599766,5.5794676758804766e-5,500,10,10,0.2,0.2,0
2.8444549034584483,0.0351697383876493,6.326369861631648e-5,500,10,10,0.2,0.2,0
2.704141432418556,0.03247394812462221,5.721734961108688e-5,500,10,10,0.2,0.2,0
2.2948509276215594,0.028799137600410182,4.116258018146882e-5,500,10,10,0.2,0.2,0
2.5582399650727683,0.029878394917624698,5.12437953766153e-5,500,10,10,0.2,0.2,0
2.2000661080186914,0.027179417401586733,3.7847490322655516e-5,500,10,10,0.2,0.2,0
2.5255605908037104,0.031122310989217403,4.987793354498943e-5,500,10,10,0.2,0.2,0
2.6588788811100015,0.029887290514991432,5.540402555065997e-5,500,10,10,0.2,0.2,0
2.5141286784191736,0.03140804008878632,4.941043028795137e-5,500,10,10,0.2,0.2,0
2.367785233120502,0.029171245571612006,4.384095570112242e-5,500,10,10,0.2,0.2,0
2.6016711378198414,0.030484302798865038,5.2994426733562475e-5,500,10,10,0.2,0.2,0
2.5446221855053417,0.0313052652045129,5.06357721654718e-5,500,10,10,0.2,0.2,0
2.512643714800546,0.02963733506648892,4.942180443771116e-5,500,10,10,0.2,0.2,0
2.9786778785062493,0.035225433482750146,6.945075548593428e-5,500,10,10,0.2,0.2,0
2.531033367498831,0.031246525799127664,5.009205888572235e-5,500,10,10,0.2,0.2,0
2.388203295107839,0.03171900133690856,4.4513528980505495e-5,500,10,10,0.2,0.2,0
2.9293247891843635,0.03255112127642158,6.726545048926109e-5,500,10,10,0.2,0.2,0
2.7578906697523986,0.03259945166989258,5.9537248582013714e-5,500,10,10,0.2,0.2,0
2.55591356753409,0.030502290738669394,5.112427447887739e-5,500,10,10,0.2,0.2,0
3.1775435586759175,0.036306896305699214,7.909777047526464e-5,500,10,10,0.2,0.2,0
2.417319804208691,0.02939457520165206,4.5709279427717414e-5,500,10,10,0.2,0.2,0
