"C_XY_Z","E_C_XY_Z","Var_C_XY_Z","C_XYrZ","E_C_XYrZ","Var_C_XYrZ","nC_XY_Z","E_nC_XY_Z","Var_nC_XY_Z","nC_XYrZ","E_nC_XYrZ","Var_nC_XYrZ","n","p1","p2","p3","r1","r2","r3","r12","r13","r23"
0.0503969608083765,0.050430890547562,1.79763557662013e-09,-0.00238539752169609,0,0.000224251442912208,0.000722627931640724,0.000483415459427686,4.23630800225558e-08,0.0472889353550397,0.0499474750881343,0.00022429204281985,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0472689519748277,0.0471947317659066,1.48490842593973e-09,-0.0110244071161191,0,0.00018523935631913,0.000980394137645635,0.000456411846426177,3.62932942297623e-08,0.035264150721063,0.0467383199194804,0.000185274193425503,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0489490641716764,0.0489471079063171,1.71343909651365e-09,0.0247821125685913,0,0.000213748100411885,0.000630351178744875,0.000460374131400279,3.94528959445246e-08,0.0731008255615229,0.0484867337749168,0.000213785872100384,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0469988132775745,0.0470058647311614,1.56675712436173e-09,0.0314740133060461,0,0.000195449817749877,0.000477803448030768,0.000454702285978832,3.71847403143491e-08,0.0779950231355899,0.0465511624451825,0.000195485466044521,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0500632696773485,0.0500004823384562,1.7054857582068e-09,0.0384186580542504,0,0.000212755937364781,0.000927748870107981,0.000477890128544928,4.07674014267049e-08,0.0875541788614909,0.0495225922099113,0.000212795031881528,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0538516342651891,0.0538636588147323,2.04268738754289e-09,0.0241361321964016,0,0.0002548211662212,0.000555625613607232,0.000506314493355004,4.73411665394697e-08,0.0774321408479835,0.0533573443213773,0.000254866503102579,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0494372172930823,0.0493610472388837,1.64738691581358e-09,0.0390547651219591,0,0.000205508222973913,0.000954046874012807,0.000480042977388425,4.02046686514246e-08,0.0875379355410286,0.0488810042614953,0.000205546812297777,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0509847129152363,0.0509744938383905,1.8180338999015e-09,0.0179534023278049,0,0.000226796092944912,0.00029562696404071,0.000493753577467271,4.34920467526913e-08,0.0686424882790004,0.0504807402609233,0.000226837802177761,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0532596777428632,0.0532458432438432,1.97795200762059e-09,0.0081299109815621,0,0.000246745557046653,0.000693068820340442,0.000511480801787013,4.69994472480759e-08,0.0606965199040849,0.0527343624420561,0.000246790616542399,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0483092145106921,0.0483171283448574,1.62818706998385e-09,0.0227855328950993,0,0.000203113080606345,0.000658220362764076,0.00045888024570345,3.82782175325259e-08,0.0704365270430273,0.0478582480991539,0.000203149761563434,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0512509939282074,0.0512260059098694,1.84197532639487e-09,0.0387181511612812,0,0.000229782738017107,0.000895745106479263,0.000482590826560278,4.28486227270355e-08,0.0890733999830093,0.0507434150833091,0.000229823779370332,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0496562149295909,0.0496695688911805,1.70461123610135e-09,0.00477133044172535,0,0.000212646842481171,0.000680587145759476,0.000476230107207764,4.06335277869605e-08,0.0537469582255568,0.0491933387839727,0.000212685804085229,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0469503161103373,0.0469572291916955,1.62318368734884e-09,0.0492432840576598,0,0.000202488918629393,0.000426090232458483,0.000424823785978293,3.55159279570603e-08,0.0957675099355386,0.0465324054057172,0.000202522840743669,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0481445700330556,0.0481477116788455,1.59964953595852e-09,0.0271872511330381,0,0.000199553080311753,0.000420661368651111,0.000464853574568271,3.83944528725592e-08,0.0749111597974426,0.0476828581042772,0.000199589906003486,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0515320492342783,0.0515419403626714,1.85448530879255e-09,0.0505883555902952,0,0.000231343333301253,0.000790341954485037,0.000485273273735391,4.32218681651566e-08,0.101330062870088,0.051056667088936,0.000231384735604493,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0486451228050693,0.0483444211127139,1.60690298682619e-09,0.00775432628329427,0,0.000200457933800594,0.00154054358565178,0.000463107768365587,3.83500805213571e-08,0.0548589055027118,0.0478813133443483,0.000200494707764276,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0468088797281515,0.0467857072121245,1.48905521273611e-09,0.0549873201841736,0,0.000185756659678405,0.000724310004153445,0.000446704534675055,3.56069788880404e-08,0.101071889908172,0.0463390026774495,0.000185790806036735,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0511620157128941,0.0507955205151131,1.77777360885233e-09,0.0250029338054285,0,0.000221773702157111,0.00168361729463707,0.000480887469426504,4.1912448671355e-08,0.0744813322236856,0.0503146330456866,0.000221813870492978,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0508850105125667,0.0508431619595177,1.80439714891198e-09,0.0105814672193853,0,0.000225094935532472,0.000829620730633468,0.000488323456030319,4.28578243849635e-08,0.0606368570013185,0.0503548385034874,0.000225136023620394,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0481852605374647,0.0481000826018176,1.6041778048491e-09,0.0357451306372822,0,0.000200117972799316,0.000987602948095997,0.000448565941748271,3.71728055655913e-08,0.0829427882266509,0.0476515166600693,0.000200153571347172,500,5,5,5,0.1,0.1,0.1,0,0,0
0.0442377847984959,0.0441998214295528,1.36429718923039e-09,0.00886459761608267,0,0.000170193345762112,0.000740255061609371,0.000420749075836763,3.2132524393248e-08,0.0523621273529692,0.043779072353716,0.000170224139963484,500,5,5,5,0.1,0.1,0.1,0,0,0
0.051350395003361,0.0513047017083269,1.84518798222346e-09,0.033461913480345,0,0.000230183510406413,0.000851887419657186,0.00050309857341256,4.46078990951529e-08,0.0839604210640487,0.0508016031349143,0.000230226309305688,500,5,5,5,0.1,0.1,0.1,0,0,0
