"C_XY","E_C_XY","Var_C_XY","n","p1","p2","r1","r2","r12"
0.0629830490002871,0.0554545160023962,0.00163701269351841,500,5,5,0.6,0.6,0
0.0687542032300127,0.0506799001041536,0.00123121785864115,500,5,5,0.6,0.6,0
0.0397928473270191,0.0448753992688638,0.000909380669495581,500,5,5,0.6,0.6,0
0.0232530283745957,0.0425937337332097,0.000779748211312572,500,5,5,0.6,0.6,0
0.06141619520273,0.0529260162914921,0.00140800739479437,500,5,5,0.6,0.6,0
0.0469330257653665,0.048285641575951,0.00105813241579814,500,5,5,0.6,0.6,0
0.186134057302078,0.0534946280813723,0.00140250635580988,500,5,5,0.6,0.6,0
0.028080803731961,0.0434688347201625,0.000830612727359234,500,5,5,0.6,0.6,0
0.0894394043169438,0.0460156812209402,0.000974293172727597,500,5,5,0.6,0.6,0
0.078501481358941,0.0477503493150541,0.00097233771343054,500,5,5,0.6,0.6,0
0.0295924884733019,0.0481760211473434,0.00109388603561346,500,5,5,0.6,0.6,0
0.0460733611095864,0.0546913073654024,0.00150953786791633,500,5,5,0.6,0.6,0
0.051946516486768,0.0427507430418147,0.000791469601304326,500,5,5,0.6,0.6,0
0.0853836326932803,0.0459939856194649,0.00096858487666213,500,5,5,0.6,0.6,0
0.0681315513744235,0.0503819754795855,0.00125551452615845,500,5,5,0.6,0.6,0
0.0929671788933507,0.0463928992148303,0.00100403202463775,500,5,5,0.6,0.6,0
0.0424197892684658,0.0485811113377857,0.00104970926202517,500,5,5,0.6,0.6,0
0.0729966198429089,0.0454979071704403,0.000938179955614096,500,5,5,0.6,0.6,0
0.0258092541489173,0.0481537401027851,0.000999329151588577,500,5,5,0.6,0.6,0
0.0514499901004057,0.0481192109786445,0.00105068428986878,500,5,5,0.6,0.6,0
0.0663472515758156,0.0514867748263586,0.00130776908308866,500,5,5,0.6,0.6,0
0.101115486276465,0.0530904815655664,0.00139487045070504,500,5,5,0.6,0.6,0
0.084444115724659,0.0418515671913814,0.000719015073706398,500,5,5,0.6,0.6,0
0.0871218312130831,0.0494101634300925,0.00121051083799367,500,5,5,0.6,0.6,0
0.0300487370446007,0.0469190142780634,0.000979245845677015,500,5,5,0.6,0.6,0
0.0944564571004253,0.0467757493185666,0.00102000749226298,500,5,5,0.6,0.6,0
0.104927617806737,0.0486579072421485,0.00101780110422955,500,5,5,0.6,0.6,0
0.158041324568767,0.0577045574173501,0.00178612658506835,500,5,5,0.6,0.6,0
0.0417867811973337,0.0466896726460626,0.000906721422814411,500,5,5,0.6,0.6,0
0.0648938014460337,0.0556020196113184,0.00149149775434058,500,5,5,0.6,0.6,0
0.0392254536297077,0.0557553504360775,0.00162332407484087,500,5,5,0.6,0.6,0
0.056458198145218,0.0485370665008959,0.00107532864461303,500,5,5,0.6,0.6,0
0.0723751416161137,0.0490565841522482,0.00116972900039165,500,5,5,0.6,0.6,0
0.0644999406752771,0.0515172983764109,0.00127352317701385,500,5,5,0.6,0.6,0
0.0288804510299704,0.0497182281315598,0.00116480937640208,500,5,5,0.6,0.6,0
0.0403917464435037,0.0483229736858124,0.00108034944057416,500,5,5,0.6,0.6,0
0.0487750820132744,0.0442571836248727,0.000773261275642724,500,5,5,0.6,0.6,0
0.035517647835367,0.0459153575905125,0.000943301574944364,500,5,5,0.6,0.6,0
0.0631143979326109,0.0467584260347583,0.000997793614404504,500,5,5,0.6,0.6,0
0.0365626822344073,0.0527089204678236,0.00132734842297686,500,5,5,0.6,0.6,0
0.0673392943460154,0.0422291031806733,0.000722083378270099,500,5,5,0.6,0.6,0
0.0715946428643348,0.0466350363517376,0.000943121725690742,500,5,5,0.6,0.6,0
0.0356558422842433,0.0460457678255162,0.00103273039397226,500,5,5,0.6,0.6,0
0.0221614877338201,0.0523593830619719,0.00138023601850736,500,5,5,0.6,0.6,0
0.12381053071078,0.0537346562674428,0.00143398477668835,500,5,5,0.6,0.6,0
0.0540628166865087,0.0559365575661902,0.00156819066554599,500,5,5,0.6,0.6,0
0.048384665467877,0.0524889037954875,0.00147157867847276,500,5,5,0.6,0.6,0
0.172416955531755,0.0472659873682451,0.000987627143172038,500,5,5,0.6,0.6,0
0.254792754379913,0.0566666871879926,0.0016199245311142,500,5,5,0.6,0.6,0
0.0289911711554644,0.0482349068111092,0.00103963480821785,500,5,5,0.6,0.6,0
0.0530946198987447,0.0506943388516223,0.00129823293356386,500,5,5,0.6,0.6,0
