"C_XY_Z","E_C_XY_Z","Var_C_XY_Z","C_XYrZ","E_C_XYrZ","Var_C_XYrZ","nC_XY_Z","E_nC_XY_Z","Var_nC_XY_Z","nC_XYrZ","E_nC_XYrZ","Var_nC_XYrZ","n","p1","p2","p3","r1","r2","r3","r12","r13","r23","semidef_pos"
2228.11885871539,2228.31017425478,78.1685134353661,292.148259333685,0,386777.804478191,118.81806514994,106.559173129705,1865.6482190261,2401.44905289913,2121.75100112507,388572.760317269,100,5,5,5,0,0,0,0.1,0,0,1
2254.28732970839,2281.4614733518,90.8841627786051,1840.85823083859,0,449694.837428538,77.9781411767224,108.508463871371,2053.08123180628,4017.16741937025,2172.95300948043,451665.679570917,100,5,5,5,0,0,0,0.1,0,0,1
2227.92249395437,2225.48804318546,86.8218208128342,2524.52751245588,0,429594.369381904,72.8872783229065,108.017085615097,1994.40480550561,4679.56272808734,2117.47095757037,431510.380396646,100,5,5,5,0,0,0,0.1,0,0,1
2789.17177215776,2791.02681853344,122.084335404316,5196.31633611103,0,604073.291580554,104.232396509971,133.646445434034,2923.27728420733,7881.25571175882,2657.3803730994,606886.176382235,100,5,5,5,0,0,0,0.1,0,0,1
2470.68963034617,2498.23101566309,98.5769664855614,2922.83779478693,0,487758.830170558,108.493682771192,119.586848573345,2350.52179276905,5285.03374236191,2378.64416708975,490020.212481758,100,5,5,5,0,0,0,0.1,0,0,1
2714.08270628868,2723.2870377931,118.27489376108,2429.36259673575,0,585224.174329825,125.368751047348,129.208877599604,2784.39832662221,5018.07655197709,2594.0781601935,587901.521086602,100,5,5,5,0,0,0,0.1,0,0,1
2499.20273540915,2493.77368335656,99.1729464306743,3487.08937558225,0,490707.738938976,74.47227532588,120.59879685966,2375.65041385821,5911.81983566552,2373.1748864969,492993.808405951,100,5,5,5,0,0,0,0.1,0,0,1
2273.83147763627,2279.68777250458,81.7504066127885,2312.24259056534,0,404501.011920077,142.559010211229,108.000727674749,1934.69903707208,4443.51505799038,2171.68704482983,406361.706438819,100,5,5,5,0,0,0,0.1,0,0,1
2572.29152828693,2583.31811999727,107.697455538395,922.49212499462,0,532887.010003979,98.3279535316715,124.805977276188,2562.94628000881,3396.45569974988,2458.51214272108,535352.665046781,100,5,5,5,0,0,0,0.1,0,0,1
2442.65391239158,2443.38539175226,100.147292048754,3704.47942872147,0,495528.801057236,82.562095430275,119.940374907504,2373.97681054566,6064.57124568278,2323.44501684476,497812.46259306,100,5,5,5,0,0,0,0.1,0,0,1
2328.65320069299,2343.13963939394,88.4102807843272,3105.28388178357,0,437454.069320851,119.499684053614,110.363825102776,2057.9540685979,5314.43739842295,2232.77581429116,439431.941504123,100,5,5,5,0,0,0,0.1,0,0,1
2506.66466037222,2505.30030902758,102.109615547469,3076.94673629088,0,505238.377728877,95.6934009885139,119.606408805246,2394.96273349297,5487.91799567459,2385.69390022233,507540.980547787,100,5,5,5,0,0,0,0.1,0,0,1
2528.28448979839,2524.27242298347,104.283979667625,4027.9942199489,0,515997.13139541,169.383329281066,119.931010079473,2427.69875898871,6386.89538046623,2404.341412904,518330.455472082,100,5,5,5,0,0,0,0.1,0,0,1
2810.29179326256,2811.33484673451,132.670847903623,3865.68318090638,0,656455.355427127,124.273166603592,137.657858887269,3136.65344721582,6551.70180756535,2673.67698784724,659472.330562622,100,5,5,5,0,0,0,0.1,0,0,1
2764.83301655475,2763.95663035732,120.011730801853,2087.97896915718,0,593818.044007569,98.6429188533429,132.997169332693,2882.96421298585,4754.16906685859,2630.95946102463,596592.546034567,100,5,5,5,0,0,0,0.1,0,0,1
2474.38326995913,2471.77013928503,99.6204177908372,4053.5472669865,0,492921.827229063,168.966171894886,119.996256957572,2369.34522514793,6358.96436505075,2351.77388232745,495201.224519359,100,5,5,5,0,0,0,0.1,0,0,1
3133.42285361678,3106.31665588605,152.069136810309,3520.93930784242,0,752438.088937409,48.4102147326654,148.946912988103,3635.2731661349,6605.95194672654,2957.36974289795,755935.876301916,100,5,5,5,0,0,0,0.1,0,0,1
2306.42679138155,2303.1055967581,86.4347504221365,2764.15377823584,0,427679.145088731,159.513037333162,112.43497913182,2066.82513592016,4911.06753228423,2190.67061762628,429667.974765397,100,5,5,5,0,0,0,0.1,0,0,1
